,id
0,1340539111971516416
1,1338158543359250433
2,1337858199140118533
3,1337855739918835717
4,1337854064604966912
5,1337852648389832708
6,1337851215875608579
7,1337850832256176136
8,1337850023531347969
9,1337842295857623042
10,1337841934170255365
11,1337840331522453507
12,1337815730486702087
13,1337809196453081088
14,1337807109010780162
15,1337789467038523394
16,1337789191598575616
17,1337783770070409218
18,1337781178665816064
19,1337776763384958976
20,1337774279862185986
21,1337774059237629952
22,1337773965595598848
23,1337773751841144833
24,1337770798770081796
25,1337770118017900550
26,1337769867676704770
27,1337769507402768384
28,1337765770420506625
29,1337761915087560707
30,1337760271151063040
31,1337758104847572999
32,1337744008500703232
33,1337742598153383936
34,1337742528108519424
35,1337739607857917954
36,1337735595704115200
37,1337734069816348673
38,1337733927885303808
39,1337733857349677059
40,1337733048914358272
41,1337732996380696578
42,1337732077278662657
43,1337728701820268544
44,1337727767551553536
45,1340571472025141248
46,1340303747306696704
47,1340129728229871617
48,1339891037712637952
49,1339822296278519810
50,1339227682094059520
51,1338631874814619653
52,1338623535913332736
53,1338623197390852100
54,1338619778689163266
55,1338618629667995649
56,1338615082239074304
57,1338612922600333315
58,1338611079258128385
59,1338607616600256513
60,1338599948884070402
61,1338597909881905153
62,1338596870634041349
63,1338595737190404099
64,1338594342265556995
65,1338594150720045056
66,1338592427041579008
67,1338590172523470848
68,1338587949370322952
69,1338587622214610946
70,1338583890156523520
71,1338579784125845506
72,1338578278056144897
73,1338578173777358849
74,1338576273950568451
75,1338574693087936513
76,1338574277562560513
77,1338573260921901059
78,1338572995992969217
79,1338572466898100224
80,1338569634501554184
81,1338569009067921418
82,1338567331778232320
83,1338566353570033664
84,1338565957866778624
85,1338565402381537281
86,1338565238082265089
87,1338564311518769152
88,1338560750571446273
89,1338557609540894720
90,1338555378448076803
91,1338555267244584969
92,1338554046957936646
93,1338552779640627204
94,1338551175587786752
95,1338548332218630144
96,1338546341404930050
97,1338545220691038211
98,1338544403795881987
99,1338543202891161600
100,1338542633354924035
101,1338539742888079360
102,1338535849781301248
103,1338532479871946752
104,1338530691684843526
105,1338525766796128261
106,1338523837638586368
107,1338517641967902720
108,1338514671326744578
109,1338514087005794305
110,1338504763235831814
111,1338501064878854150
112,1338499024903614467
113,1338496766354681857
114,1338493267357339651
115,1338492425921122306
116,1338491684544536577
117,1338491398379753480
118,1338486761169645568
119,1338486712964616202
120,1338485684529549312
121,1338483993239560195
122,1338483026905411586
123,1338481628017004551
124,1338477015775780864
125,1338476299216695296
126,1338475597195042816
127,1338474021655109639
128,1338469899518132224
129,1338469289532088320
130,1338466940059344898
131,1338466008466505728
132,1338465837649367041
133,1338463981372141570
134,1338463828057657344
135,1338463448309657602
136,1338455738520391680
137,1338453203076096005
138,1338452833025155072
139,1338452094731182081
140,1338451167639179264
141,1338448997854351360
142,1338446777767374855
143,1338443641027776515
144,1338440733091651587
145,1338440713189593088
146,1338436351964962817
147,1338429215201378311
148,1338425284064931840
149,1338422513634865152
150,1338418862669221889
151,1338414601520566272
152,1338413115306778625
153,1338410385850896384
154,1338404911629918209
155,1338404433852510209
156,1338393910251548672
157,1338382778572951552
158,1338377849388953600
159,1338377471360569347
160,1338369703048187905
161,1338365142485118976
162,1338364933843656704
163,1338348925892358147
164,1338344185829584897
165,1338342487618957313
166,1338335155849752580
167,1338327856347303937
168,1338327177209683971
169,1338326994833076226
170,1338322772250906625
171,1338322128991641605
172,1338320756854431751
173,1338315055150993411
174,1338314397983379456
175,1338313222017859585
176,1338313134092689408
177,1338311331380940806
178,1338310322206113792
179,1338308996038492160
180,1338304176691040257
181,1338293565076729858
182,1338293277058076672
183,1338287664454393858
184,1338286940223844353
185,1338281602057555969
186,1338277580596637696
187,1338275138895278084
188,1338271320182808580
189,1338270320512339975
190,1338269605760942082
191,1338254776384024580
192,1338249841114296321
193,1338240809297129483
194,1338240521492426755
195,1338231269394669569
196,1338229182401220608
197,1338225601614917638
198,1338223933993197574
199,1338220193227677699
200,1338217785516765184
201,1338214380677324803
202,1338210137098481664
203,1338209327375638530
204,1338199619533205506
205,1338198790109532162
206,1338191834338766850
207,1338168666844704771
208,1338166530413096963
209,1338164912468742149
210,1338164138338562048
211,1338163623764525058
212,1338162756709658624
213,1338157923424378882
214,1338156763808485378
215,1338156006627397632
216,1338153248474193920
217,1338150440534466560
218,1338150279867412481
219,1338149264778784772
220,1338148596307406851
221,1338144979189964801
222,1338143123071971328
223,1338143061558390784
224,1338138849155936263
225,1338138722244542467
226,1338136846715404289
227,1338136603038949378
228,1338133740195897347
229,1338129045087637504
230,1338124603621838848
231,1338123644917178368
232,1338123175633285122
233,1338120755377221632
234,1338118234441039872
235,1338117720546697216
236,1338117421677203456
237,1338107730679136257
238,1338105475447939072
239,1338100707807940610
240,1338098881804963841
241,1338089041435115527
242,1338070912097140736
243,1338060897856581634
244,1338060295839887361
245,1338037075627528193
246,1338027516536135680
247,1338018612553023489
248,1338017813374570496
249,1338016390679244801
250,1338009082469511168
